"","pair_id","min","max","var","auc","bri","int","slp","corrections","algorithms"
"1",1,2.43649401810327e-09,0.999999998978592,0.0213824856692694,0.728753261476792,0.125333001177925,0.00744233834072275,0.782717474386246,"control","logistic_regression"
"2",2,0.0445186816095304,0.932340231696387,0.00977551884004223,0.739782782362183,0.124694131312201,0.00809257789607852,1.34338220576689,"control","support_vector_machine"
"3",3,0.00118571428571429,0.736233333333333,0.0172461271409964,0.782178967179541,0.117846996704648,-0.0311618801405159,1.19413118853545,"control","random_forest"
"4",4,0.00544643402099609,0.987680858001113,0.0242863393870775,0.765278483319449,0.120162308343181,0.0266584913136788,0.897241877625239,"control","xgboost"
"5",5,0.116981481177348,0.903341101030807,0.0227918378820197,0.767673132269682,0.200798170928564,-1.51013259879538,1.63544654261606,"control","rusboost"
"6",6,0.165851788223339,0.820433503658367,0.0106655544428666,0.7566696546323,0.212193464852657,-1.5138875496063,2.31558044812996,"control","easy_ensemble"
"7",7,0.00173548637629023,0.9999999999997,0.0537862726126375,0.725260128533695,0.211279816876815,-1.67342692091407,0.69771528136584,"rus","logistic_regression"
"8",8,0.0686649845903783,0.91144095578448,0.0461894799332868,0.7613717418764,0.202233319699605,-1.59886487657095,1.05062971201403,"rus","support_vector_machine"
"9",9,0.0435904761904762,0.919238095238095,0.0268957043710648,0.762217273896441,0.198608263105912,-1.50134283401264,1.44323144529766,"rus","random_forest"
"10",10,0.01308274269104,0.989857837557793,0.0630049224724285,0.72663589000127,0.219434302041635,-1.75317021988483,0.682638829126078,"rus","xgboost"
"11",11,0.0917058643427744,0.92755966468091,0.0285628169123048,0.755962608154032,0.222642588500589,-1.6836032944004,1.35627427545303,"rus","rusboost"
"12",12,0.135310000128435,0.823226391239677,0.0118142139264317,0.727928951933331,0.214308034162762,-1.51375974490492,1.95490612842403,"rus","easy_ensemble"
"13",13,1.94113678641988e-05,0.999999999999366,0.0532223281636551,0.725487320833297,0.213715428049936,-1.69450035526069,0.707048337576468,"ros","logistic_regression"
"14",14,0.0809125004377209,0.923299320472372,0.0447179235368279,0.766408584271751,0.211715593460978,-1.68573759260166,1.10172264032441,"ros","support_vector_machine"
"15",15,0.0372976190476191,0.9304,0.0323747618500286,0.756635713663374,0.206724565203939,-1.57859922129554,1.25146443875528,"ros","random_forest"
"16",16,0.0688080787658691,0.981443278491497,0.0409412112576733,0.736715262585201,0.212947757521005,-1.65100120054481,0.957962292689242,"ros","xgboost"
"17",17,0.0842567702578079,0.937429132921198,0.0268356595462097,0.751965507396624,0.221228711055688,-1.66627015988877,1.34294934247071,"ros","rusboost"
"18",18,0.163045783736995,0.803621415605284,0.0112525022778813,0.724972583695877,0.216241775568893,-1.52343521234913,1.94489681875841,"ros","easy_ensemble"
"19",19,1.94113678641988e-05,0.999999999999366,0.0532223281636551,0.725487320833297,0.213715428049936,-1.69450035526069,0.707048337576468,"smo","logistic_regression"
"20",20,0.0590415827391181,0.915239146327279,0.0496927139553199,0.763665777187079,0.204229738021652,-1.62516540807928,1.02501528621238,"smo","support_vector_machine"
"21",21,0.048,0.926,0.030964384010216,0.75647896851267,0.205173864107609,-1.56191437047867,1.28918566807555,"smo","random_forest"
"22",22,0.0417406558990479,0.988289725035429,0.0453307973910713,0.735045851273097,0.212485340644999,-1.66641433419923,0.880493404189084,"smo","xgboost"
"23",23,0.0887027625935351,0.919875280247128,0.0284703224953133,0.760749787392252,0.22199872731542,-1.68703191392918,1.39998285411177,"smo","rusboost"
"24",24,0.129201853461774,0.843021558054658,0.0118026940382095,0.727631087580691,0.215649908029562,-1.52279696910242,1.93467495319805,"smo","easy_ensemble"
"25",25,1.94113678641988e-05,0.999999999999366,0.0532223281636551,0.725487320833297,0.213715428049936,-1.69450035526069,0.707048337576468,"sen","logistic_regression"
"26",26,0.0655051599231299,0.912017259732062,0.0474998503029358,0.763521734231303,0.204334231108083,-1.62011790276123,1.05355282500872,"sen","support_vector_machine"
"27",27,0.048,0.89,0.0267484424305759,0.757257501914049,0.203992314971989,-1.53599138482677,1.41621561317792,"sen","random_forest"
"28",28,0.0713960528373718,0.980579784139991,0.0404537336293434,0.738166582066852,0.210857468585299,-1.63581164418221,0.967663855684708,"sen","xgboost"
"29",29,0.10721375285042,0.92230380806926,0.0246191826003286,0.75888895005846,0.225097112164509,-1.6921639126806,1.46733160085535,"sen","rusboost"
"30",30,0.149270481158677,0.80694763438523,0.0113163198494493,0.725830870062544,0.217305532857855,-1.53064962260976,1.96016141418509,"sen","easy_ensemble"
